ELECTION_DISTRICT,DISTRICT,TOWN,BALLOT_BOX,ELECTION_CENTRE,CENTRE,PARTY,VOTES
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),40
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΑΛΛΑΓΗ ΓΕΝΙΑΣ,12
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΑΛΛΗΛΕΓΓΥΗ,9
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΑΜΜΟΧΩΣΤΟΣ ΓΙΑ ΤΗΝ ΚΥΠΡΟ,23
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΑΦΥΠΝΙΣΗ -2020-,1
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΡΑΤΑΞΗ,34
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,33
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,92
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ.),15
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ-ΚΙΝΗΜΑ ΕΝ.ΚΥΠ. ΚΥΝΗΓΩΝ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ-ΣΥΝΕΡΓΑΣΙΑ ΠΟΛΙΤΩΝ,31
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ ΕΔΕΚ,22
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΚΟΜΜΑ ΓΙΑ ΤΑ ΖΩΑ ΚΥΠΡΟΥ,5
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΑΤΡΙΩΤΙΚΟΣ ΣΥΝΑΣΠΙΣΜΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΝΟΗ ΛΑΟΥ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΜΑΡΔΑΠΗΤΤΑΣ ΧΡΥΣΑΝΘΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΧΡΙΣΤΟΥ ΑΝΔΡΕΑΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΧΡΥΣΑΝΘΟΥ ΣΠΥΡΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΘΕΜΙΣΤΟΚΛΕΟΥΣ ΑΒΡΑΑΜ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΟΥΡΓΟΥΡΙΔΗΣ ΕΥΑΓΓΕΛΟΣ,0
